1784765554.860253980 103.66 23342145911 0
1784765555.892228255 103.70 23423093964 0
1784765556.922528079 103.67 23503363266 0
1784765557.954057962 103.67 23583088605 0
1784765558.985346966 103.67 23663658947 0
1784765560.015641666 103.67 23743904492 0
1784765561.059180264 103.67 23825117669 0
1784765562.090004657 103.67 23905804612 0
1784765563.120008374 103.67 23986423902 0
1784765564.150809344 103.67 24067115209 0
1784765565.180556620 103.67 24146984904 0
1784765566.213467544 103.67 24226765141 0
1784765567.244886259 103.67 24306290493 0
1784765568.276369672 103.67 24385423669 0
1784765569.308007356 103.67 24465294019 0
1784765570.339184874 103.67 24545440021 0
1784765571.371249267 103.67 24625465012 0
1784765572.402389851 103.67 24706180930 0
1784765573.433601963 103.67 24786695871 0
1784765574.464080280 103.67 24866630839 0
1784765575.494052851 103.68 24945643431 0
1784765576.524361466 103.67 25025486378 0
1784765577.554362342 103.67 25105120428 0
1784765578.586086172 103.67 25185060721 0
1784765579.616514278 103.67 25263787699 0
1784765580.647452677 103.68 25343561482 0
1784765581.678111619 103.67 25423472403 0
1784765582.710234630 103.67 25502639345 0
1784765583.740970309 103.76 25582155146 0
1784765584.774094287 103.69 25662262209 0
1784765585.804508377 103.67 25741717695 0
1784765586.835717395 103.69 25822137425 0
1784765587.867471930 103.69 25901720498 0
1784765588.897021560 103.75 25982220394 0
1784765589.928438812 103.75 26062004506 0
1784765590.958036987 103.78 26141791030 0
1784765591.989143176 103.79 26221091662 0
1784765593.018877756 103.85 26300567197 0
1784765594.050311757 103.84 26379059185 0
1784765595.082888636 103.89 26459887967 0
1784765596.114874212 103.88 26539603480 0
1784765597.145806365 103.94 26620097913 0
1784765598.176052424 103.90 26699636616 0
1784765599.207151578 104.03 26778893885 0
1784765600.238147308 103.98 26858365270 0
1784765601.269322607 104.03 26937719000 0
1784765602.300843123 103.98 27016882203 0
1784765603.332066396 104.03 27095666062 0
1784765604.363600564 104.07 27175730480 0
1784765605.394831640 104.06 27255601853 0
1784765606.424318661 104.10 27336422762 0
1784765607.454440762 104.11 27415152653 0
1784765608.484629723 104.15 27494169807 0
1784765609.514772045 104.13 27574948146 0
1784765610.544297416 104.16 27654145009 0
1784765611.573268710 104.11 27734852703 0
1784765612.603713537 104.13 27814776930 0
1784765613.634814084 104.15 27895425896 0
1784765614.667116637 104.22 27974041261 0
1784765615.697310701 104.17 28053216442 0
1784765616.726835917 104.16 28133501963 0
1784765617.757033217 104.16 28213841986 0
1784765618.786204015 104.16 28294824874 0
1784765619.817133070 104.16 28375436244 0
1784765620.848258329 104.16 28455080105 0
1784765621.878528732 104.16 28535945003 0
1784765622.908762130 104.16 28615242751 0
1784765623.941171830 104.16 28697201343 0
1784765624.970301000 104.21 28776991085 0
1784765626.001793972 104.16 28856756492 0
1784765627.033908093 104.16 28936534837 0
1784765628.065672542 104.16 29017856803 0
1784765629.096716416 104.16 29097554906 0
1784765630.126471214 104.22 29178155596 0
1784765631.157729428 104.16 29258898201 0
1784765632.187885878 104.16 29339446938 0
1784765633.219278986 104.16 29419567199 0
1784765634.249912870 104.16 29498736246 0
1784765635.279682283 104.16 29578239947 0
1784765636.309777805 104.16 29658449972 0
1784765637.340449087 104.16 29737753488 0
1784765638.370358441 104.16 29817800633 0
1784765639.403348359 104.16 29896583714 0
1784765640.435035762 104.16 29977712758 0
1784765641.465623982 104.16 30055847664 0
1784765642.497571104 104.16 30138288835 0
1784765643.527882924 104.16 30217303395 0
1784765644.557686013 104.16 30297898669 0
1784765645.588977618 104.16 30377514882 0
1784765646.619034989 104.17 30456982162 0
1784765647.649952796 104.16 30537295727 0
1784765648.681244612 104.17 30616694606 0
1784765649.714047828 104.16 30695773692 0
1784765650.745392686 104.16 30775509864 0
1784765651.776869140 104.17 30854952029 0
1784765652.808791281 104.22 30934536857 0
1784765653.840188258 104.16 31014675215 0
1784765654.872571961 104.16 31094586991 0
1784765655.902813703 104.17 31174466649 0
1784765656.932700706 104.16 31255214747 0
1784765657.962481080 104.25 31334448442 0
1784765658.995170181 104.17 31414148514 0
1784765660.024008899 104.16 31492290926 0
1784765661.054659896 104.17 31572928419 0
1784765662.086007274 104.16 31653578057 0
1784765663.117194534 104.16 31732914957 0
1784765664.149713353 104.17 31812144975 0
1784765665.179692379 104.17 31891728964 0
1784765666.209472898 104.18 31972301991 0
1784765667.240120654 104.17 32052162119 0
1784765668.270321022 104.17 32131888679 0
1784765669.299147778 104.18 32212601103 0
1784765670.330718725 104.18 32293270744 0
1784765671.361871638 104.17 32371648283 0
1784765672.393001607 104.16 32452001046 0
1784765673.422786708 104.17 32531593731 0
1784765674.455306685 104.18 32612290898 0
1784765675.485119619 104.16 32692928344 0
1784765676.516172195 104.19 32773070288 0
1784765677.547777948 104.18 32852697594 0
1784765678.577773556 104.19 32933303349 0
1784765679.611802491 104.18 33013787880 0
1784765680.641505102 104.25 33092749449 0
1784765681.671753349 104.23 33173770253 0
1784765682.701225928 104.21 33254112641 0
1784765683.731283593 104.23 33335022763 0
1784765684.760725963 104.22 33415086112 0
1784765685.791798579 104.21 33495393193 0
1784765686.824719918 104.25 33575102724 0
1784765687.855883962 104.28 33655563590 0
1784765688.885089449 104.23 33735889987 0
